<NUMBER OF ZONES> 	110
<NUMBER OF NODES> 	930
<FIRST THRU NODE> 	111
<NUMBER OF LINKS> 	2522
<END OF METADATA> 	

~ 	 Init node 	 Term node 	 Capacity 	 Length 	 Free Flow Time 	 B 	 Power 	 Speed limit 	 Toll 	 Type 	 ;
	1	200	1	1.0833333333332999526	1.0833333333332999526	0	0	0	0	9	;
	1	217	1	1.0833333333332999526	1.0833333333332999526	0	0	0	0	9	;
	1	226	1	1.0833333333332999526	1.0833333333332999526	0	0	0	0	9	;
	2	212	1	1.6666666666667000474	1.6666666666667000474	0	0	0	0	9	;
	2	214	1	1.6666666666667000474	1.6666666666667000474	0	0	0	0	9	;
	3	211	1	1.0833333333332999526	1.0833333333332999526	0	0	0	0	9	;
	3	216	1	1.0833333333332999526	1.0833333333332999526	0	0	0	0	9	;
	4	211	1	1.0833333333332999526	1.0833333333332999526	0	0	0	0	9	;
	4	216	1	1.0833333333332999526	1.0833333333332999526	0	0	0	0	9	;
	5	208	1	0.5	0.5	0	0	0	0	9	;
	5	209	1	0.5	0.5	0	0	0	0	9	;
	5	220	1	1.0833333333332999526	1.0833333333332999526	0	0	0	0	9	;
	6	334	1	0.83333333333333003967	0.83333333333333003967	0	0	0	0	9	;
	6	335	1	0.83333333333333003967	0.83333333333333003967	0	0	0	0	9	;
	6	366	1	0.83333333333333003967	0.83333333333333003967	0	0	0	0	9	;
	7	184	1	0.66666666666666996033	0.66666666666666996033	0	0	0	0	9	;
	7	191	1	0.66666666666666996033	0.66666666666666996033	0	0	0	0	9	;
	7	193	1	0.66666666666666996033	0.66666666666666996033	0	0	0	0	9	;
	8	182	1	0.66666666666666996033	0.66666666666666996033	0	0	0	0	9	;
	8	366	1	0.66666666666666996033	0.66666666666666996033	0	0	0	0	9	;
	8	384	1	0.66666666666666996033	0.66666666666666996033	0	0	0	0	9	;
	8	390	1	0.66666666666666996033	0.66666666666666996033	0	0	0	0	9	;
	9	187	1	0.5	0.5	0	0	0	0	9	;
	10	115	1	0.41666666666667001584	0.41666666666667001584	0	0	0	0	9	;
	10	116	1	0.41666666666667001584	0.41666666666667001584	0	0	0	0	9	;
	10	124	1	0.41666666666667001584	0.41666666666667001584	0	0	0	0	9	;
	11	116	1	0.66666666666666996033	0.66666666666666996033	0	0	0	0	9	;
	11	117	1	0.66666666666666996033	0.66666666666666996033	0	0	0	0	9	;
	12	120	1	0.83333333333333003967	0.83333333333333003967	0	0	0	0	9	;
	12	127	1	0.83333333333333003967	0.83333333333333003967	0	0	0	0	9	;
	12	132	1	0.83333333333333003967	0.83333333333333003967	0	0	0	0	9	;
	13	118	1	0.66666666666666996033	0.66666666666666996033	0	0	0	0	9	;
	13	121	1	0.66666666666666996033	0.66666666666666996033	0	0	0	0	9	;
	13	134	1	0.66666666666666996033	0.66666666666666996033	0	0	0	0	9	;
	14	154	1	0.58333333333333003967	0.58333333333333003967	0	0	0	0	9	;
	15	138	1	0.83333333333333003967	0.83333333333333003967	0	0	0	0	9	;
	15	443	1	0.83333333333333003967	0.83333333333333003967	0	0	0	0	9	;
	15	448	1	0.83333333333333003967	0.83333333333333003967	0	0	0	0	9	;
	16	511	1	1	1	0	0	0	0	9	;
