<NUMBER OF ZONES> 	36
<NUMBER OF NODES> 	397
<FIRST THRU NODE> 	37
<NUMBER OF LINKS> 	871
<END OF METADATA> 	

~ 	 Init node 	 Term node 	 Capacity 	 Length 	 Free Flow Time 	 B 	 Power 	 Speed limit 	 Toll 	 Type 	 ;
	1	302	999999	0	0	0	4	0	0	0	;
	1	303	999999	0	0	0	4	0	0	0	;
	1	305	999999	0	0	0	4	0	0	0	;
	1	306	999999	0	0	0	4	0	0	0	;
	2	252	999999	0	0	0	4	0	0	0	;
	2	254	999999	0	0	0	4	0	0	0	;
	2	255	999999	0	0	0	4	0	0	0	;
	2	271	999999	0	0	0	4	0	0	0	;
	3	257	999999	0	0	0	4	0	0	0	;
	3	258	999999	0	0	0	4	0	0	0	;
	3	259	999999	0	0	0	4	0	0	0	;
	3	260	999999	0	0	0	4	0	0	0	;
	4	225	999999	0	0	0	4	0	0	0	;
	4	230	999999	0	0	0	4	0	0	0	;
	4	231	999999	0	0	0	4	0	0	0	;
	4	262	999999	0	0	0	4	0	0	0	;
	5	253	999999	0	0	0	4	0	0	0	;
	5	254	999999	0	0	0	4	0	0	0	;
	5	351	999999	0	0	0	4	0	0	0	;
	5	352	999999	0	0	0	4	0	0	0	;
	6	195	999999	0	0	0	4	0	0	0	;
	6	222	999999	0	0	0	4	0	0	0	;
	6	263	999999	0	0	0	4	0	0	0	;
	6	294	999999	0	0	0	4	0	0	0	;
	7	49	999999	0	0	0	4	0	0	0	;
	7	50	999999	0	0	0	4	0	0	0	;
	7	54	999999	0	0	0	4	0	0	0	;
	7	58	999999	0	0	0	4	0	0	0	;
	8	358	999999	0	0	0	4	0	0	0	;
	8	359	999999	0	0	0	4	0	0	0	;
	8	360	999999	0	0	0	4	0	0	0	;
	8	363	999999	0	0	0	4	0	0	0	;
	9	157	999999	0	0	0	4	0	0	0	;
	9	167	999999	0	0	0	4	0	0	0	;
	9	175	999999	0	0	0	4	0	0	0	;
	9	361	999999	0	0	0	4	0	0	0	;
	10	139	999999	0	0	0	4	0	0	0	;
	10	141	999999	0	0	0	4	0	0	0	;
	10	143	999999	0	0	0	4	0	0	0	;
	10	145	999999	0	0	0	4	0	0	0	;
	11	62	999999	0	0	0	4	0	0	0	;
	11	274	999999	0	0	0	4	0	0	0	;
	11	278	999999	0	0	0	4	0	0	0	;
