<NUMBER OF ZONES> 	98
<NUMBER OF NODES> 	974
<FIRST THRU NODE> 	99
<NUMBER OF LINKS> 	2184
<END OF METADATA> 	

~ 	 Init node 	 Term node 	 Capacity 	 Length 	 Free Flow Time 	 B 	 Power 	 Speed limit 	 Toll 	 Type 	 ;
	1	817	999999	0	0	0	4	0	0	0	;
	1	816	999999	0	0	0	4	0	0	0	;
	1	820	999999	0	0	0	4	0	0	0	;
	1	821	999999	0	0	0	4	0	0	0	;
	2	750	999999	0	0	0	4	0	0	0	;
	2	752	999999	0	0	0	4	0	0	0	;
	2	753	999999	0	0	0	4	0	0	0	;
	2	780	999999	0	0	0	4	0	0	0	;
	3	755	999999	0	0	0	4	0	0	0	;
	3	756	999999	0	0	0	4	0	0	0	;
	3	757	999999	0	0	0	4	0	0	0	;
	3	758	999999	0	0	0	4	0	0	0	;
	4	718	999999	0	0	0	4	0	0	0	;
	4	723	999999	0	0	0	4	0	0	0	;
	4	724	999999	0	0	0	4	0	0	0	;
	4	760	999999	0	0	0	4	0	0	0	;
	5	751	999999	0	0	0	4	0	0	0	;
	5	752	999999	0	0	0	4	0	0	0	;
	5	891	999999	0	0	0	4	0	0	0	;
	5	892	999999	0	0	0	4	0	0	0	;
	6	678	999999	0	0	0	4	0	0	0	;
	6	706	999999	0	0	0	4	0	0	0	;
	6	761	999999	0	0	0	4	0	0	0	;
	6	808	999999	0	0	0	4	0	0	0	;
	7	221	999999	0	0	0	4	0	0	0	;
	7	222	999999	0	0	0	4	0	0	0	;
	7	231	999999	0	0	0	4	0	0	0	;
	7	240	999999	0	0	0	4	0	0	0	;
	8	898	999999	0	0	0	4	0	0	0	;
	8	899	999999	0	0	0	4	0	0	0	;
	8	900	999999	0	0	0	4	0	0	0	;
	8	903	999999	0	0	0	4	0	0	0	;
	9	587	999999	0	0	0	4	0	0	0	;
	9	650	999999	0	0	0	4	0	0	0	;
	9	658	999999	0	0	0	4	0	0	0	;
	9	901	999999	0	0	0	4	0	0	0	;
	10	563	999999	0	0	0	4	0	0	0	;
	10	565	999999	0	0	0	4	0	0	0	;
	10	567	999999	0	0	0	4	0	0	0	;
	10	569	999999	0	0	0	4	0	0	0	;
	11	257	999999	0	0	0	4	0	0	0	;
	11	783	999999	0	0	0	4	0	0	0	;
	11	787	999999	0	0	0	4	0	0	0	;
