<NUMBER OF ZONES> 	26
<NUMBER OF NODES> 	359
<FIRST THRU NODE> 	27
<NUMBER OF LINKS> 	766
<END OF METADATA> 	

~ 	 Init node 	 Term node 	 Capacity 	 Length 	 Free Flow Time 	 B 	 Power 	 Speed limit 	 Toll 	 Type 	 ;
	1	170	999999	0	0	0	4	0	0	0	;
	1	269	999999	0	0	0	4	0	0	0	;
	1	327	999999	0	0	0	4	0	0	0	;
	1	346	999999	0	0	0	4	0	0	0	;
	2	204	999999	0	0	0	4	0	0	0	;
	2	209	999999	0	0	0	4	0	0	0	;
	2	219	999999	0	0	0	4	0	0	0	;
	2	221	999999	0	0	0	4	0	0	0	;
	3	155	999999	0	0	0	4	0	0	0	;
	3	161	999999	0	0	0	4	0	0	0	;
	3	195	999999	0	0	0	4	0	0	0	;
	3	344	999999	0	0	0	4	0	0	0	;
	4	298	999999	0	0	0	4	0	0	0	;
	4	299	999999	0	0	0	4	0	0	0	;
	4	303	999999	0	0	0	4	0	0	0	;
	4	312	999999	0	0	0	4	0	0	0	;
	5	264	999999	0	0	0	4	0	0	0	;
	5	270	999999	0	0	0	4	0	0	0	;
	5	272	999999	0	0	0	4	0	0	0	;
	5	273	999999	0	0	0	4	0	0	0	;
	6	68	999999	0	0	0	4	0	0	0	;
	6	69	999999	0	0	0	4	0	0	0	;
	6	70	999999	0	0	0	4	0	0	0	;
	6	71	999999	0	0	0	4	0	0	0	;
	7	86	999999	0	0	0	4	0	0	0	;
	7	87	999999	0	0	0	4	0	0	0	;
	7	88	999999	0	0	0	4	0	0	0	;
	7	89	999999	0	0	0	4	0	0	0	;
	8	99	999999	0	0	0	4	0	0	0	;
	8	117	999999	0	0	0	4	0	0	0	;
	8	121	999999	0	0	0	4	0	0	0	;
	8	134	999999	0	0	0	4	0	0	0	;
	9	83	999999	0	0	0	4	0	0	0	;
	9	84	999999	0	0	0	4	0	0	0	;
	9	95	999999	0	0	0	4	0	0	0	;
	9	97	999999	0	0	0	4	0	0	0	;
	10	172	999999	0	0	0	4	0	0	0	;
	10	175	999999	0	0	0	4	0	0	0	;
	10	238	999999	0	0	0	4	0	0	0	;
	10	242	999999	0	0	0	4	0	0	0	;
	11	27	999999	0	0	0	4	0	0	0	;
	11	186	999999	0	0	0	4	0	0	0	;
	11	191	999999	0	0	0	4	0	0	0	;
	11	192	999999	0	0	0	4	0	0	0	;
	12	37	999999	0	0	0	4	0	0	0	;
	12	38	999999	0	0	0	4	0	0	0	;
	12	64	999999	0	0	0	4	0	0	0	;
	12	65	999999	0	0	0	4	0	0	0	;
	13	205	999999	0	0	0	4	0	0	0	;
	13	206	999999	0	0	0	4	0	0	0	;
	13	226	999999	0	0	0	4	0	0	0	;
	13	315	999999	0	0	0	4	0	0	0	;
	14	255	999999	0	0	0	4	0	0	0	;
	14	256	999999	0	0	0	4	0	0	0	;
	14	259	999999	0	0	0	4	0	0	0	;
	14	260	999999	0	0	0	4	0	0	0	;
	15	316	999999	0	0	0	4	0	0	0	;
	15	317	999999	0	0	0	4	0	0	0	;
	15	318	999999	0	0	0	4	0	0	0	;
	15	321	999999	0	0	0	4	0	0	0	;
	16	155	999999	0	0	0	4	0	0	0	;
	16	277	999999	0	0	0	4	0	0	0	;
	16	282	999999	0	0	0	4	0	0	0	;
	16	285	999999	0	0	0	4	0	0	0	;
	17	140	999999	0	0	0	4	0	0	0	;
	17	142	999999	0	0	0	4	0	0	0	;
	17	149	999999	0	0	0	4	0	0	0	;
	17	151	999999	0	0	0	4	0	0	0	;
	18	145	999999	0	0	0	4	0	0	0	;
