<NUMBER OF ZONES> 	1068
<NUMBER OF NODES> 	4783
<FIRST THRU NODE> 	1069
<NUMBER OF LINKS> 	11140
<END OF METADATA> 	

~ 	 Init node 	 Term node 	 Capacity 	 Length 	 Free Flow Time 	 B 	 Power 	 Speed limit 	 Toll 	 Type 	 ;
	1	1371	900	0.2999999999999999889	0.32700000000000001288	0.28199999999999997291	4	55	42.899999999999998579	2	;
	2	2012	1600	0.26000000000000000888	0.17299999999999998712	0.28199999999999997291	4	90	70.200000000000002842	2	;
	3	2387	1100	0.2000000000000000111	0.2000000000000000111	0.28199999999999997291	4	60	46.799999999999997158	2	;
	4	1875	800	0.16000000000000000333	0.12800000000000000266	0.28199999999999997291	4	75	58.5	1	;
	5	1880	800	0.2000000000000000111	0.1710000000000000131	0.28199999999999997291	4	70	54.600000000000001421	1	;
	6	1894	800	0.25	0.23100000000000001088	0.28199999999999997291	4	65	50.700000000000002842	1	;
	7	1970	800	0.52000000000000001776	0.47999999999999998224	0.28199999999999997291	4	65	50.700000000000002842	1	;
	8	1977	600	0.33000000000000001554	0.44000000000000000222	0.6670000000000000373	4	45	27	1	;
	9	3429	600	0.30999999999999999778	0.33800000000000002265	0.6670000000000000373	4	55	33	1	;
	10	2012	1600	0.26000000000000000888	0.17299999999999998712	0.28199999999999997291	4	90	70.200000000000002842	2	;
	11	2848	600	0.4500000000000000111	0.49099999999999999201	0.6670000000000000373	4	55	33	5	;
	12	3607	400	0.17999999999999999334	0.27000000000000001776	0.6670000000000000373	4	40	24	1	;
	13	3479	1800	0.48999999999999999112	0.2670000000000000151	0.22500000000000000555	4	110	89.799999999999997158	4	;
	14	3479	1800	0.48999999999999999112	0.2670000000000000151	0.22500000000000000555	4	110	89.799999999999997158	4	;
	15	3422	700	0.14999999999999999445	0.16400000000000000688	0.6670000000000000373	4	55	33	2	;
	16	3556	800	0.35999999999999998668	0.35999999999999998668	0.28199999999999997291	4	60	46.799999999999997158	1	;
	17	3817	400	1.1599999999999999201	2.3199999999999998401	0.6670000000000000373	4	30	18	1	;
	18	2437	1800	0.27000000000000001776	0.67500000000000004441	0	4	24	24	5	;
	19	2776	1800	0.44000000000000000222	1.1000000000000000888	0	4	24	24	5	;
	20	2151	1800	0.22000000000000000111	0.55000000000000004441	0	4	24	24	5	;
	21	3821	1800	0.22000000000000000111	0.55000000000000004441	0	4	24	24	5	;
	22	3290	1800	0.28000000000000002665	0.69999999999999995559	0	4	24	24	5	;
	23	3331	1800	0.28999999999999998002	0.7249999999999999778	0	4	24	24	5	;
	24	3708	1800	0.2000000000000000111	0.5	0	4	24	24	5	;
	25	3400	1800	0.3499999999999999778	0.875	0	4	24	24	5	;
	25	3698	1800	0.35999999999999998668	0.9000000000000000222	0	4	24	24	5	;
	26	4745	1800	0.3499999999999999778	0.875	0	4	24	24	5	;
	27	3862	1800	0.080000000000000001665	0.2000000000000000111	0	4	24	24	5	;
	28	3690	1800	0.17999999999999999334	0.4500000000000000111	0	4	24	24	5	;
	29	2772	1800	0.4500000000000000111	1.125	0	4	24	24	5	;
	30	3710	1800	0.47999999999999998224	1.1999999999999999556	0	4	24	24	5	;
	31	3859	1800	0.34000000000000002442	0.8499999999999999778	0	4	24	24	5	;
	32	2780	1800	0.23000000000000000999	0.57499999999999995559	0	4	24	24	5	;
	33	1069	1800	0.28999999999999998002	0.7249999999999999778	0	4	24	24	5	;
	34	2150	1800	0.20999999999999999223	0.5250000000000000222	0	4	24	24	5	;
	35	2963	1800	0.26000000000000000888	0.6500000000000000222	0	4	24	24	5	;
	36	2962	1800	0.10000000000000000555	0.25	0	4	24	24	5	;
	37	2959	1800	0.19000000000000000222	0.4749999999999999778	0	4	24	24	5	;
	38	3155	1800	0.2000000000000000111	0.5	0	4	24	24	5	;
	39	2833	1800	0.28000000000000002665	0.69999999999999995559	0	4	24	24	5	;
	40	2165	1800	0.22000000000000000111	0.55000000000000004441	0	4	24	24	5	;
