<NUMBER OF ZONES> 	154
<NUMBER OF NODES> 	948
<FIRST THRU NODE> 	155
<NUMBER OF LINKS> 	2535
<END OF METADATA> 	

~ 	 Init node 	 Term node 	 Capacity 	 Length 	 Free Flow Time 	 B 	 Power 	 Speed limit 	 Toll 	 Type 	 ;
	1	929	800	0.23999999999999999112	0.75	0.10000000000000000555	1.5	50	0	1	;
	1	941	2000	0.30999999999999999778	0.75	0.10000000000000000555	1.5	80	0	1	;
	2	869	1000	0.23000000000000000999	0.75	0.10000000000000000555	1.5	100	0	1	;
	2	884	800	0.23000000000000000999	0.75	0.10000000000000000555	1.5	120	0	1	;
	2	887	2000	0.34000000000000002442	0.75	0.10000000000000000555	1.5	30	0	1	;
	3	860	1000	0.23000000000000000999	0.75	0.10000000000000000555	1.5	50	0	1	;
	3	894	800	0.23000000000000000999	0.75	0.10000000000000000555	1.5	80	0	1	;
	3	913	2000	0.23000000000000000999	0.75	0.10000000000000000555	1.5	100	0	1	;
	3	915	1000	0.19000000000000000222	0.75	0.10000000000000000555	1.5	120	0	1	;
	4	863	800	0.17999999999999999334	0.75	0.10000000000000000555	1.5	30	0	1	;
	4	891	2000	0.17999999999999999334	0.75	0.10000000000000000555	1.5	50	0	1	;
	4	901	1000	0.17999999999999999334	0.75	0.10000000000000000555	1.5	80	0	1	;
	4	903	800	0.17999999999999999334	0.75	0.10000000000000000555	1.5	100	0	1	;
	4	910	2000	0.20999999999999999223	0.75	0.10000000000000000555	1.5	120	0	1	;
	5	776	1000	0.26000000000000000888	0.75	0.10000000000000000555	1.5	30	0	1	;
	5	806	800	0.30999999999999999778	0.75	0.10000000000000000555	1.5	50	0	1	;
	5	807	2000	0.23000000000000000999	0.75	0.10000000000000000555	1.5	80	0	1	;
	6	784	1000	0.17999999999999999334	0.75	0.10000000000000000555	1.5	100	0	1	;
	6	810	800	0.23999999999999999112	0.75	0.10000000000000000555	1.5	120	0	1	;
	6	813	2000	0.11000000000000000056	0.75	0.10000000000000000555	1.5	30	0	1	;
	7	835	1000	0.3499999999999999778	0.75	0.10000000000000000555	1.5	50	0	1	;
	7	836	800	0.32000000000000000666	0.75	0.10000000000000000555	1.5	80	0	1	;
	7	838	2000	0.28999999999999998002	0.75	0.10000000000000000555	1.5	100	0	1	;
	7	840	1000	0.32000000000000000666	0.75	0.10000000000000000555	1.5	120	0	1	;
	7	842	800	0.3499999999999999778	0.75	0.10000000000000000555	1.5	30	0	1	;
	8	789	2000	0.20999999999999999223	0.75	0.10000000000000000555	1.5	50	0	1	;
