<NUMBER OF ZONES> 	1790
<NUMBER OF NODES> 	12979
<FIRST THRU NODE> 	1791
<NUMBER OF LINKS> 	39018
<END OF METADATA> 	

~ 	 Init node 	 Term node 	 Capacity 	 Length 	 Free Flow Time 	 B 	 Power 	 Speed limit 	 Toll 	 Type 	 ;
	1	10292	100000	0.4500000000000000111	0	0.14999999999999999445	4	25	0	3	;
	2	10293	100000	0.5	0	0.14999999999999999445	4	25	0	3	;
	3	10294	100000	0.39000000000000001332	0	0.14999999999999999445	4	25	0	3	;
	4	10295	100000	0.57999999999999996003	0	0.14999999999999999445	4	25	0	3	;
	5	10296	100000	0.5	0	0.14999999999999999445	4	25	0	3	;
	6	10297	100000	0.57999999999999996003	0	0.14999999999999999445	4	25	0	3	;
	7	10298	100000	0.4500000000000000111	0	0.14999999999999999445	4	25	0	3	;
	8	10299	100000	0.5	0	0.14999999999999999445	4	25	0	3	;
	9	10300	100000	0.44000000000000000222	0	0.14999999999999999445	4	25	0	3	;
	10	10301	100000	0.5	0	0.14999999999999999445	4	25	0	3	;
	11	10302	100000	0.4500000000000000111	0	0.14999999999999999445	4	25	0	3	;
	12	10303	100000	0.5	0	0.14999999999999999445	4	25	0	3	;
	13	10304	100000	0.44000000000000000222	0	0.14999999999999999445	4	25	0	3	;
	14	10305	100000	0.5	0	0.14999999999999999445	4	25	0	3	;
	15	10306	100000	0.44000000000000000222	0	0.14999999999999999445	4	25	0	3	;
	16	10307	100000	0.51000000000000000888	0	0.14999999999999999445	4	25	0	3	;
	17	10308	100000	0.44000000000000000222	0	0.14999999999999999445	4	25	0	3	;
	18	10309	100000	0.51000000000000000888	0	0.14999999999999999445	4	25	0	3	;
	19	10310	100000	0.42999999999999999334	0	0.14999999999999999445	4	25	0	3	;
	20	10311	100000	0.5	0	0.14999999999999999445	4	25	0	3	;
	21	10312	100000	0.42999999999999999334	0	0.14999999999999999445	4	25	0	3	;
	22	10313	100000	0.5	0	0.14999999999999999445	4	25	0	3	;
	23	10314	100000	0.42999999999999999334	0	0.14999999999999999445	4	25	0	3	;
	24	10315	100000	0.5	0	0.14999999999999999445	4	25	0	3	;
	25	10316	100000	0.42999999999999999334	0	0.14999999999999999445	4	25	0	3	;
	26	10317	100000	0.5	0	0.14999999999999999445	4	25	0	3	;
	27	10318	100000	0.42999999999999999334	0	0.14999999999999999445	4	25	0	3	;
	28	10319	100000	0.93000000000000004885	0	0.14999999999999999445	4	25	0	3	;
	29	10320	100000	0.93000000000000004885	0	0.14999999999999999445	4	25	0	3	;
	30	10321	100000	0.92000000000000003997	0	0.14999999999999999445	4	25	0	3	;
	31	10322	100000	0.39000000000000001332	0	0.14999999999999999445	4	25	0	3	;
	32	10323	100000	0.48999999999999999112	0	0.14999999999999999445	4	25	0	3	;
	33	10324	100000	0.54000000000000003553	0	0.14999999999999999445	4	25	0	3	;
	34	10325	100000	0.5	0	0.14999999999999999445	4	25	0	3	;
	35	10326	100000	0.2999999999999999889	0	0.14999999999999999445	4	25	0	3	;
	36	10327	100000	0.5	0	0.14999999999999999445	4	25	0	3	;
	37	10328	100000	0.41999999999999998446	0	0.14999999999999999445	4	25	0	3	;
	38	10329	100000	0.5	0	0.14999999999999999445	4	25	0	3	;
	39	10330	100000	0.47999999999999998224	0	0.14999999999999999445	4	25	0	3	;
	40	10331	100000	0.5	0	0.14999999999999999445	4	25	0	3	;
	41	10332	100000	0.55000000000000004441	0	0.14999999999999999445	4	25	0	3	;
	42	10333	100000	0.5	0	0.14999999999999999445	4	25	0	3	;
	43	10334	100000	0.5	0	0.14999999999999999445	4	25	0	3	;
	44	10335	100000	0.40999999999999997558	0	0.14999999999999999445	4	25	0	3	;
	45	10336	100000	0.5	0	0.14999999999999999445	4	25	0	3	;
	46	10337	100000	0.5	0	0.14999999999999999445	4	25	0	3	;
	47	10338	100000	0.42999999999999999334	0	0.14999999999999999445	4	25	0	3	;
